ticker,shares_outstanding,short_term_debt,long_term_debt,source,notes ,Unnamed: 6,Unnamed: 7,debt_facevalue
SBIBANK,8924620034,26257164700000,39885442200000,AR2025,,,,46199885800000.0
BANKBARODA,5171362179,11301960400000,14476385300000,AR2025,,,,18540153050000.0
CANBK,9076562500,10072609700000,25722651200000,AR2025,,,,22933935300000.0
HDFCBANK,5105325797,402332200000,32224695700000,AR2025,,,,16514680050000.0
ICICIBANK,3564037855,6187340900000,11151521900000,AR2025,,,,11763101850000.0
AXISBANK,3098620347,3581757300000,11410175700000,AR2025,,,,9286845150000.0
KOTAKBANK,1988519342,6129009600000,9336198400000,AR2025,,,,10797108800000.0
INDUSINDBK,779445161,2848660500000,3045799500000,AR2025,,,,4371560250000.0
BAJFINANCE,6208203435,1085765100000,1683317300000,AR2025,,,,1927423750000.0
PNB,11521086957,5895063500000,10608938500000,AR2025,,,,11199532750000.0
