Ticker,AdjClose_FYend,FYEnd_Price_Date,Shares_Outstanding,Market_Cap_Rupees,Market_Cap_Crore
SBIBANK,756.3135375976562,2025-03-28,8924620034,6749810949629.455,674981.0949629456
BANKBARODA,220.9165954589844,2025-03-28,5171362179,1142439726470.0352,114243.97264700351
CANBK,85.92147827148438,2025-03-28,9076562500,779871667623.5199,77987.16676235199
HDFCBANK,901.908935546875,2025-03-28,5105325797,4604538955192.271,460453.89551922714
ICICIBANK,1338.025634765625,2025-03-28,3564037855,4768774013265.092,476877.4013265092
AXISBANK,1101.0589599609375,2025-03-28,3098620347,3411763696581.619,341176.3696581619
KOTAKBANK,2168.699462890625,2025-03-28,1988519342,4312500828943.019,431250.0828943019
INDUSINDBK,649.8499755859375,2025-03-28,779445161,506522418846.4271,50652.24188464271
BAJFINANCE,889.0739135742188,2025-03-28,6208203435,5519551724220.358,551955.1724220358
PNB,93.4228973388672,2025-03-28,11521086957,1076333324015.9729,107633.33240159729
